,pop_mean,pop_sem,eps_mean,eps_sem,het_mean,het_sem,p_het_1,p_het_0,p_pop0,s_wt_mean,s_wt_sem,s_mt_mean,s_mt_sem,a_wt_mean,a_wt_sem,a_mt_mean,a_mt_sem
0,640.0,0.0,400.0,0.0,0.5,0.0,0.0,0.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0
1,644.79,0.57,399.92,0.18,0.504,0.0006,0.0,0.0,0.0,158.94,0.11,163.75,0.41,159.36,0.18,162.73,0.32
2,648.07,0.77,399.85,0.18,0.5057,0.0009,0.0,0.0,0.0,158.49,0.14,165.82,0.54,158.62,0.2,165.15,0.47
3,651.97,0.95,400.08,0.18,0.5074,0.0011,0.0,0.0,0.0,157.88,0.17,168.3,0.65,158.24,0.22,167.54,0.59
4,655.07,1.09,399.79,0.18,0.5094,0.0013,0.0,0.0,0.0,157.28,0.19,170.61,0.74,157.42,0.24,169.76,0.7
5,660.94,1.23,400.12,0.18,0.5133,0.0014,0.0,0.0,0.0,156.32,0.21,174.18,0.84,156.86,0.26,173.58,0.79
6,663.95,1.37,399.98,0.18,0.5144,0.0016,0.0,0.0,0.0,155.84,0.23,176.46,0.92,156.15,0.27,175.51,0.89
7,668.54,1.49,400.25,0.18,0.5167,0.0017,0.0,0.0,0.0,155.16,0.25,179.23,1.0,155.66,0.29,178.48,0.97
8,672.31,1.59,400.02,0.18,0.5192,0.0018,0.0,0.0,0.0,154.45,0.27,182.06,1.08,154.8,0.3,181.01,1.04
9,676.98,1.69,399.94,0.18,0.5224,0.0019,0.0,0.0,0.0,153.63,0.29,185.13,1.14,153.96,0.32,184.26,1.11
10,678.91,1.78,399.52,0.18,0.5233,0.002,0.0,0.0,0.0,153.33,0.3,186.6,1.2,153.06,0.33,185.93,1.17
11,684.18,1.89,399.82,0.18,0.5262,0.0021,0.0,0.0,0.0,152.47,0.32,189.77,1.27,152.56,0.35,189.38,1.24
12,687.88,1.97,399.63,0.18,0.5285,0.0022,0.0,0.0,0.0,151.7,0.33,192.72,1.33,151.84,0.36,191.62,1.29
13,693.5,2.09,399.91,0.17,0.5313,0.0023,0.0,0.0,0.0,150.98,0.35,196.13,1.41,151.08,0.38,195.31,1.37
14,698.54,2.19,400.21,0.18,0.5336,0.0024,0.0,0.0,0.0,150.2,0.37,199.19,1.48,150.56,0.4,198.6,1.45
15,702.31,2.29,399.62,0.18,0.5362,0.0025,0.0,0.0004,0.0,149.35,0.39,202.46,1.54,149.38,0.41,201.12,1.51
16,706.91,2.36,399.83,0.17,0.5388,0.0025,0.0,0.0006,0.0,148.65,0.4,205.16,1.58,148.83,0.42,204.28,1.57
