,pop_mean,pop_sem,eps_mean,eps_sem,het_mean,het_sem,p_het_1,p_het_0,p_pop0,s_wt_mean,s_wt_sem,s_mt_mean,s_mt_sem,a_wt_mean,a_wt_sem,a_mt_mean,a_mt_sem
75,934.89,5.65,399.91,0.16,0.6319,0.0047,0.086,0.1016,0.0,110.74,0.94,357.0,3.77,110.85,0.95,356.3,3.76
76,938.81,5.67,400.19,0.16,0.6333,0.0047,0.0886,0.1038,0.0,110.03,0.95,359.18,3.78,110.61,0.96,358.99,3.78
77,942.27,5.7,399.84,0.16,0.6352,0.0047,0.0918,0.1042,0.0,109.5,0.95,361.88,3.8,109.53,0.95,361.36,3.79
78,945.54,5.75,399.92,0.16,0.6359,0.0047,0.0954,0.1062,0.0,108.93,0.96,364.0,3.83,109.11,0.96,363.5,3.83
79,949.13,5.78,399.98,0.16,0.637,0.0048,0.0986,0.1084,0.0,108.42,0.96,366.32,3.85,108.51,0.97,365.89,3.85
80,952.58,5.82,399.92,0.16,0.638,0.0048,0.1054,0.1096,0.0,107.84,0.97,368.58,3.87,107.87,0.97,368.29,3.88
81,954.79,5.84,399.79,0.16,0.6389,0.0048,0.1086,0.111,0.0,107.42,0.97,370.24,3.89,107.36,0.98,369.76,3.89
82,959.69,5.87,400.13,0.16,0.6405,0.0048,0.1128,0.113,0.0,106.64,0.98,373.16,3.91,106.97,0.98,372.92,3.91
83,962.8,5.89,400.06,0.16,0.6418,0.0048,0.1156,0.1148,0.0,106.14,0.98,375.27,3.93,106.33,0.99,375.05,3.93
84,966.25,5.94,399.84,0.16,0.6427,0.0049,0.1192,0.117,0.0,105.43,0.99,378.1,3.96,105.6,0.99,377.12,3.95
85,969.27,5.95,399.76,0.16,0.6441,0.0049,0.1228,0.1186,0.0,104.93,0.99,380.15,3.97,104.99,1.0,379.2,3.96
86,972.21,5.98,399.66,0.15,0.6453,0.0049,0.1266,0.121,0.0,104.4,1.0,382.23,3.99,104.41,1.0,381.17,3.98
87,976.05,6.0,399.76,0.16,0.6469,0.0049,0.1298,0.1218,0.0,103.88,1.0,384.41,4.0,103.78,1.0,383.99,4.0
88,979.4,6.02,400.12,0.16,0.6478,0.0049,0.1336,0.1244,0.0,103.35,1.01,386.44,4.02,103.67,1.02,385.94,4.02
89,982.42,6.06,400.07,0.16,0.6486,0.0049,0.1386,0.1256,0.0,102.82,1.01,388.43,4.04,103.12,1.02,388.04,4.04
90,985.23,6.09,399.8,0.16,0.6498,0.005,0.1426,0.1268,0.0,102.22,1.01,390.49,4.06,102.45,1.02,390.07,4.06
91,988.7,6.12,399.9,0.16,0.6507,0.005,0.1472,0.13,0.0,101.84,1.02,392.66,4.08,101.79,1.02,392.41,4.08
92,991.94,6.14,400.12,0.15,0.6516,0.005,0.1508,0.1304,0.0,101.34,1.02,394.47,4.09,101.51,1.03,394.62,4.1
93,994.02,6.16,399.89,0.15,0.6523,0.005,0.1532,0.1316,0.0,100.88,1.03,396.12,4.11,100.96,1.03,396.06,4.11
94,996.33,6.18,399.73,0.15,0.6533,0.005,0.1588,0.133,0.0,100.49,1.03,397.99,4.12,100.37,1.03,397.49,4.12
95,999.8,6.21,400.08,0.16,0.654,0.005,0.164,0.1334,0.0,99.94,1.03,400.08,4.14,100.24,1.04,399.54,4.14
96,1002.32,6.23,399.72,0.15,0.655,0.0051,0.1682,0.1344,0.0,99.49,1.04,402.3,4.16,99.35,1.04,401.18,4.14
97,1005.2,6.25,399.9,0.15,0.6561,0.0051,0.172,0.137,0.0,98.99,1.04,403.93,4.17,99.15,1.05,403.14,4.16
98,1007.91,6.27,399.99,0.15,0.6568,0.0051,0.177,0.1388,0.0,98.59,1.05,405.29,4.18,98.76,1.05,405.26,4.18
99,1011.03,6.3,399.78,0.15,0.6581,0.0051,0.18,0.1404,0.0,98.03,1.05,407.86,4.19,98.0,1.05,407.15,4.2
